transaction_id,investor_id,amfi_code,fund_name,transaction_type,amount,transaction_date,kyc_status
66,26084,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,94955,2025-05-17,Verified
67,76917,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,36739,2025-09-19,Verified
68,97243,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,3089,2026-04-07,Verified
69,29523,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,87050,2025-07-11,Pending
70,47206,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,1587,2025-11-12,Pending
71,46883,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,8751,2025-04-21,Pending
72,23412,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,49995,2025-07-11,Pending
73,22950,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,2411,2026-03-01,Pending
74,67347,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,43353,2025-03-20,Verified
75,29204,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,22519,2025-02-15,Verified
76,68418,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,99912,2025-05-28,Pending
77,14413,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,73522,2025-02-14,Verified
78,94715,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,98769,2025-06-21,Verified
79,71168,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,42807,2026-05-09,Pending
80,66400,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,80621,2025-04-21,Pending
81,75577,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,85152,2026-02-13,Verified
82,24021,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,21156,2026-05-07,Verified
83,76165,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,35050,2026-02-05,Verified
84,90641,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,66867,2026-04-03,Verified
85,62660,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,2131,2025-10-15,Pending
86,80959,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,18766,2025-06-01,Pending
87,52959,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,69909,2025-03-20,Pending
88,50870,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,71474,2025-04-08,Verified
89,88876,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,20226,2025-05-09,Pending
90,68857,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,88738,2025-06-29,Verified
91,33259,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,8727,2025-09-05,Verified
92,13263,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,28023,2025-04-26,Verified
93,82458,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,57847,2025-01-17,Pending
94,11060,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,58445,2025-09-11,Verified
95,92417,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,34484,2025-09-03,Pending
96,86648,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,96874,2026-04-04,Verified
97,71604,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,48826,2025-12-21,Pending
98,37563,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,82319,2025-10-31,Verified
99,91115,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,12640,2025-04-11,Verified
100,94537,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,47181,2025-06-26,Verified
101,73402,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,30683,2026-04-20,Pending
102,46891,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,76274,2026-04-01,Verified
103,32865,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,25317,2025-09-27,Pending
104,95123,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,50690,2025-12-11,Verified
105,42045,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,38215,2025-09-03,Verified
106,62362,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,51752,2026-05-12,Verified
107,52786,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,42122,2025-12-16,Verified
108,32884,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,73849,2025-05-12,Verified
109,57379,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,20197,2025-07-16,Pending
110,60262,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,60090,2026-05-01,Pending
111,51493,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,99415,2026-03-14,Verified
112,51956,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,65819,2026-05-04,Pending
113,41660,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,39270,2025-10-20,Pending
114,42509,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,91434,2026-01-22,Pending
115,32078,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,16524,2025-07-06,Pending
116,65232,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,96110,2026-05-04,Verified
117,99793,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,91251,2026-05-14,Verified
118,66364,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,99639,2025-03-30,Verified
119,44488,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,98448,2025-12-16,Verified
120,85179,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,81515,2026-03-24,Verified
121,33709,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,70574,2025-07-29,Verified
122,41671,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,87564,2025-01-16,Pending
123,92211,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,87086,2025-03-11,Verified
124,32049,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,87773,2025-03-18,Verified
125,92544,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,98347,2025-12-28,Verified
126,23068,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,93074,2025-12-20,Verified
127,28319,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,60179,2025-12-17,Verified
128,99203,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,67396,2025-04-22,Pending
129,75376,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,57412,2026-05-01,Pending
130,21411,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,40866,2025-02-11,Pending
131,92159,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,81159,2026-05-05,Pending
132,22672,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,35138,2025-06-01,Verified
133,69929,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,72014,2025-05-28,Verified
134,44938,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,44523,2025-06-23,Verified
135,49183,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,29039,2025-10-27,Verified
136,70187,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,94588,2025-05-04,Pending
137,56346,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,76753,2025-05-23,Verified
138,88565,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,96138,2026-03-19,Verified
139,95355,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,85342,2025-02-13,Verified
140,54131,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,77394,2025-09-06,Verified
141,82917,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,6937,2025-04-08,Pending
142,54094,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,89557,2025-10-20,Verified
143,42420,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,36815,2025-05-31,Verified
144,74860,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,82339,2025-03-01,Verified
145,33309,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,88435,2025-12-31,Pending
146,31662,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,95641,2025-10-22,Pending
147,80277,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,62497,2025-10-31,Pending
148,83142,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,92767,2025-03-17,Pending
149,78541,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,92479,2026-02-20,Verified
150,25143,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,90285,2025-08-30,Pending
151,38280,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,11819,2025-11-16,Pending
152,39576,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,57073,2025-09-25,Pending
153,30985,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,39935,2025-05-30,Pending
154,30231,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,95460,2025-03-12,Verified
155,64660,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,69379,2026-03-05,Verified
156,41503,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,60557,2025-04-30,Verified
157,46549,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,3508,2025-04-07,Pending
158,95121,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,62195,2025-09-06,Pending
159,77888,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,86748,2025-02-21,Pending
160,60073,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,47639,2025-10-08,Pending
161,93930,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,39890,2025-10-07,Verified
162,78160,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,90799,2025-04-15,Pending
163,88028,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,63615,2026-02-05,Pending
164,77375,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,81875,2025-09-26,Pending
165,38261,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,54481,2025-04-07,Verified
166,98354,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,70424,2025-12-20,Verified
167,91886,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,81094,2025-10-31,Verified
168,59001,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,46521,2025-05-15,Verified
169,75037,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,34529,2026-04-04,Verified
170,69144,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,70066,2026-04-19,Pending
171,50443,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,68557,2025-10-21,Verified
172,82946,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,87242,2025-08-24,Verified
173,58063,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,74868,2025-05-20,Verified
174,73758,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,31402,2025-11-25,Verified
175,62132,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,45672,2025-03-03,Pending
176,28546,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,12292,2025-05-30,Verified
177,84098,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,50638,2025-05-30,Pending
178,99156,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,41803,2026-01-10,Verified
179,67418,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,63464,2026-03-25,Verified
180,40541,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,72939,2025-06-24,Verified
181,18882,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,64751,2025-12-16,Verified
182,91509,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SIP,6402,2025-12-11,Verified
183,59538,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,22308,2026-03-26,Verified
184,37928,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,60814,2025-09-22,Pending
185,20941,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,33679,2025-03-28,Verified
186,23945,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,28946,2026-02-03,Verified
187,85893,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,71704,2026-03-27,Verified
188,82061,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,98277,2026-01-16,Verified
189,99005,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,6873,2026-01-17,Verified
190,50218,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,43859,2025-04-01,Verified
191,15383,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,14524,2026-02-25,Pending
192,74282,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,12922,2025-07-31,Pending
193,46527,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,46673,2025-09-19,Verified
194,62493,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,23542,2025-12-02,Pending
195,15174,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,85958,2025-01-18,Verified
196,39225,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,97152,2025-11-01,Pending
197,95138,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,36017,2025-02-25,Verified
198,17342,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,64926,2025-06-06,Pending
199,35405,125497,SBI Small Cap Fund - Direct Plan - Growth,Lumpsum,64984,2026-03-17,Verified
200,73367,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,40410,2025-09-11,Pending
201,73517,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,1791,2025-07-10,Verified
202,30854,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,82602,2025-10-07,Verified
203,96381,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,51271,2025-05-03,Verified
204,74833,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,42849,2025-08-22,Verified
205,55853,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SIP,12378,2025-04-09,Verified
206,29573,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,85604,2026-05-10,Verified
207,62552,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Redemption,41812,2025-01-27,Pending
208,41714,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,7443,2025-03-23,Verified
209,36452,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Redemption,47160,2026-02-21,Pending
210,28949,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,87454,2025-04-04,Pending
211,64452,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,41518,2025-12-25,Pending
212,88425,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Lumpsum,67577,2025-06-01,Pending
213,83523,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,9352,2026-04-14,Verified
214,65963,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,46646,2025-11-10,Pending
215,43456,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,97443,2025-10-23,Pending
216,30443,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,47620,2025-06-09,Pending
217,55855,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,3152,2025-12-24,Pending
218,66295,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,25816,2025-05-04,Pending
219,75812,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,97479,2025-05-10,Pending
220,99844,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,50308,2026-01-19,Verified
221,28024,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,18474,2025-03-28,Pending
222,78431,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,87477,2025-01-05,Verified
223,76597,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,47011,2025-08-16,Verified
224,63728,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,63566,2025-10-12,Verified
225,91463,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,71974,2025-06-29,Verified
226,33295,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,16342,2025-05-14,Verified
227,72688,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,47387,2025-06-29,Pending
228,77821,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,79891,2025-07-01,Verified
229,73077,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,44918,2026-01-28,Pending
230,82494,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Lumpsum,34601,2025-07-20,Verified
231,66177,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,75178,2025-12-18,Pending
232,15766,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,24934,2025-02-23,Verified
233,11155,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,29622,2025-12-03,Verified
234,74023,119092,HDFC Money Market Fund - Growth Option - Direct Plan,Lumpsum,8662,2026-03-01,Verified
235,97493,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,57219,2025-08-31,Pending
236,87791,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,41224,2025-07-16,Verified
237,70570,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Redemption,89152,2025-06-05,Verified
238,55743,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Lumpsum,80198,2026-02-15,Pending
239,24906,120841,quant Mid Cap Fund - Growth Option - Direct Plan,Redemption,28878,2025-01-08,Verified
240,79791,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SIP,37875,2025-06-15,Pending
241,18240,119092,HDFC Money Market Fund - Growth Option - Direct Plan,SIP,72462,2025-03-15,Verified
242,88944,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,54970,2025-04-16,Verified
243,77521,125497,SBI Small Cap Fund - Direct Plan - Growth,Redemption,20070,2025-07-10,Verified
244,51325,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Lumpsum,58025,2025-07-06,Pending
245,25947,120841,quant Mid Cap Fund - Growth Option - Direct Plan,SIP,10719,2025-03-19,Pending
246,12668,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Redemption,93252,2025-07-26,Verified
247,65661,125497,SBI Small Cap Fund - Direct Plan - Growth,SIP,9654,2025-04-26,Pending
